Date,Total
2002M10,2819.8
2002M11,2879.9
2002M12,3498.4
2003M01,2848.9
2003M02,2713.5
2003M03,2941.6
2003M04,2801.5
2003M05,2913.4
2003M06,2696.7
2003M07,2957.8
2003M08,2927.8
2003M09,2871.5
2003M10,3076.3
2003M11,3166.8
2003M12,3911.8
2004M01,3166.5
2004M02,3057.1
2004M03,3330.9
2004M04,3216.4
2004M05,3210.9
2004M06,3086.9
2004M07,3325.7
2004M08,3230.3
2004M09,3221.5
2004M10,3361.6
2004M11,3518.6
2004M12,4259.5
2005M01,3390.9
2005M02,3311.6
2005M03,3622.9
2005M04,3493
2005M05,3437
2005M06,3373.1
2005M07,3581.9
2005M08,3549
2005M09,3532.8
2005M10,3669.4
2005M11,3822.2
2005M12,4578
2006M01,3669.6
2006M02,3579.8
2006M03,4017.4
2006M04,3733.5
2006M05,3872.9
2006M06,3733.9
2006M07,3879
2006M08,3904.1
2006M09,3829.9
2006M10,3990.2
2006M11,4205.1
2006M12,5044.4
2007M01,4059.2
2007M02,3956.5
2007M03,4407.9
2007M04,4057.7
2007M05,4204.7
2007M06,4049.9
2007M07,4187.5
2007M08,4263.9
2007M09,4146.8
2007M10,4352.3
2007M11,4620.5
2007M12,5415.5
2008M01,4409.3
2008M02,4398.8
2008M03,4561.4
2008M04,4354.9
2008M05,4523.8
2008M06,4160.4
2008M07,4476.2
2008M08,4450
2008M09,4372.3
2008M10,4641.2
2008M11,4619.5
2008M12,5483.4
2009M01,4479.5
2009M02,4281.7
2009M03,4632.7
2009M04,4431
2009M05,4537.2
2009M06,4260.9
2009M07,4590.2
2009M08,4503
2009M09,4453.6
2009M10,4697.1
2009M11,4742.2
2009M12,5737
2010M01,4646.4
2010M02,4447.4
2010M03,4930.9
2010M04,4596.5
2010M05,4645.5
2010M06,4448.4
2010M07,4751.2
2010M08,4626.8
2010M09,4665.8
2010M10,4872.9
2010M11,5067.5
2010M12,6063.7
2011M01,4875.5
2011M02,4702.3
2011M03,5195.7
2011M04,4986
2011M05,4967.8
2011M06,4791.5
2011M07,5058.1
2011M08,4981
2011M09,4958.3
2011M10,5209.4
2011M11,5361.7
2011M12,6396.3
2012M01,5146.7
2012M02,5134.2
2012M03,5492.2
2012M04,5078
2012M05,5304.8
2012M06,5070.7
2012M07,5177.6
2012M08,5320.7
2012M09,5126.3
2012M10,5439.9
2012M11,5690
2012M12,6604
2013M01,5476.2
2013M02,5246.8
2013M03,5683.3
2013M04,5421.1
2013M05,5618.3
2013M06,5308.1
2013M07,5603.2
2013M08,5657
2013M09,5376.2
2013M10,5828
2013M11,6042.2
2013M12,6999
2014M01,5827.3
2014M02,5552.9
2014M03,5973.6
2014M04,5664.1
2014M05,5984.1
2014M06,5544.5
2014M07,5853.1
2014M08,5814.4
2014M09,5641.7
2014M10,6150.2
2014M11,6217.6
2014M12,7315
2015M01,6080.3
2015M02,5763.4
2015M03,6248.2
2015M04,5903.6
2015M05,6163.2
2015M06,5871.5
2015M07,6252.3
2015M08,6105.8
2015M09,6001.3
2015M10,6481.9
2015M11,6536.8
2015M12,7795.9
2016M01,6390.5
2016M02,6309.9
2016M03,6617.8
2016M04,6408.1
2016M05,6406.7
2016M06,6252.6
2016M07,6532
2016M08,6361.3
2016M09,6382.7
2016M10,6755.1
2016M11,6919.6
2016M12,8211.9
2017M01,6729.3
2017M02,6427.7
2017M03,7029.7
