Date,Visitors
1998M09,57930
1998M10,68203
1998M11,84370
1998M12,113853
1999M01,122130
1999M02,124305
1999M03,104106
1999M04,83414
1999M05,59800
1999M06,52426
1999M07,64539
1999M08,65227
1999M09,64295
1999M10,74554
1999M11,97217
1999M12,126109
2000M01,136167
2000M02,139231
2000M03,116593
2000M04,95288
2000M05,67900
2000M06,58918
2000M07,74902
2000M08,75263
2000M09,69939
2000M10,79850
2000M11,106854
2000M12,142512
2001M01,157145
2001M02,152509
2001M03,131338
2001M04,106300
2001M05,78232
2001M06,70443
2001M07,88007
2001M08,90114
2001M09,83352
2001M10,94188
2001M11,112844
2001M12,150571
2002M01,167950
2002M02,168080
2002M03,151318
2002M04,120003
2002M05,91278
2002M06,81478
2002M07,100170
2002M08,98417
2002M09,91976
2002M10,105233
2002M11,129342
2002M12,170070
2003M01,186824
2003M02,187082
2003M03,162886
2003M04,127647
2003M05,91881
2003M06,82633
2003M07,100952
2003M08,97958
2003M09,93133
2003M10,103872
2003M11,129669
2003M12,177242
2004M01,193296
2004M02,184994
2004M03,161558
2004M04,132312
2004M05,93840
2004M06,84275
2004M07,101233
2004M08,96128
2004M09,90803
2004M10,100875
2004M11,125737
2004M12,171295
2005M01,191854
2005M02,186737
2005M03,165517
2005M04,124496
2005M05,92337
2005M06,89795
2005M07,102304
2005M08,94922
2005M09,92049
2005M10,101625
2005M11,127224
2005M12,172001
2006M01,194040
2006M02,194355
2006M03,167363
2006M04,136323
2006M05,97705
2006M06,87210
2006M07,103377
2006M08,101008
2006M09,95704
2006M10,108268
2006M11,134345
2006M12,180312
2007M01,200548
2007M02,202852
2007M03,176382
2007M04,141115
2007M05,102203
2007M06,90172
2007M07,107547
2007M08,104000
2007M09,96336
2007M10,106858
2007M11,130753
2007M12,178121
2008M01,201484
2008M02,202965
2008M03,187101
2008M04,143772
2008M05,109110
2008M06,97351
2008M07,112368
2008M08,107804
2008M09,100528
2008M10,108062
2008M11,131846
2008M12,182795
2009M01,200077
2009M02,194514
2009M03,170648
2009M04,141757
2009M05,103533
2009M06,89760
2009M07,105945
2009M08,100007
2009M09,99017
2009M10,107995
2009M11,132359
2009M12,192464
2010M01,211478
2010M02,203323
2010M03,174330
2010M04,141268
2010M05,104428
2010M06,91355
2010M07,107762
2010M08,102211
2010M09,99421
2010M10,106645
2010M11,132847
2010M12,188288
2011M01,212309
2011M02,202582
2011M03,167986
2011M04,139770
2011M05,101706
2011M06,88817
2011M07,104792
2011M08,103339
2011M09,117844
2011M10,124892
2011M11,132219
2011M12,192155
2012M01,212693
2012M02,191772
2012M03,165596
2012M04,138406
2012M05,99726
2012M06,89954
2012M07,103420
2012M08,100307
2012M09,94542
2012M10,102982
2012M11,125924
2012M12,189506
2013M01,204359
2013M02,195129
2013M03,171286
2013M04,139242
2013M05,101637
2013M06,91955
2013M07,106044
2013M08,104697
2013M09,100978
2013M10,111006
2013M11,140116
2013M12,208692
2014M01,229130
2014M02,220759
2014M03,186060
2014M04,158214
2014M05,114309
2014M06,101189
2014M07,118428
2014M08,113059
2014M09,108315
2014M10,119974
2014M11,153614
2014M12,220894
2015M01,236488
2015M02,238517
2015M03,202006
2015M04,169832
2015M05,125651
2015M06,110931
2015M07,125886
2015M08,119857
2015M09,119227
2015M10,127632
2015M11,167283
2015M12,239865
2016M01,261871
2016M02,257895
2016M03,229039
2016M04,182655
2016M05,136212
2016M06,122147
2016M07,139893
2016M08,132642
2016M09,128613
2016M10,143080
2016M11,181239
2016M12,259751
2017M01,277786
2017M02,268169
2017M03,231558
